Participant,gender,block,Efficiency,Partner_cost,PartnerIntention,Gratitude,Guilt,Obligation,Indebtedness,SOB100,Care,Choice,Allocation
6004,2,2,2,18,Altruistic,80.74 ,77.78 ,28.70 ,83.70 ,0,73.70 ,1,18
6004,2,2,2,20,Altruistic,96.11 ,95.56 ,41.11 ,94.26 ,0,95.93 ,1,20
6004,2,2,3,4,Altruistic,39.26 ,50.37 ,2.04 ,38.15 ,0,27.78 ,1,2
6004,2,2,3,6,Altruistic,53.33 ,49.81 ,5.37 ,52.96 ,0,54.81 ,1,2
6004,2,2,3,8,Altruistic,58.70 ,58.33 ,8.15 ,57.96 ,0,53.89 ,1,3
6004,2,2,3,10,Altruistic,64.63 ,53.70 ,15.56 ,56.11 ,0,57.04 ,1,4
6004,2,2,3,12,Altruistic,75.19 ,70.74 ,20.19 ,68.33 ,0,69.81 ,1,4
6004,2,2,3,14,Altruistic,74.81 ,70.19 ,26.48 ,67.78 ,0,73.33 ,1,5
6004,2,2,3,16,Altruistic,80.00 ,75.93 ,36.11 ,74.07 ,0,73.15 ,1,6
6004,2,2,3,18,Altruistic,87.59 ,85.37 ,30.00 ,78.33 ,0,85.19 ,1,6
6004,2,2,3,20,Altruistic,100.00 ,100.00 ,42.04 ,92.78 ,0,92.59 ,1,10
6004,2,1,1,4,Strategic,10.37 ,5.56 ,20.19 ,12.04 ,16,7.59 ,1,4
6004,2,1,1,6,Strategic,12.78 ,15.00 ,16.11 ,18.52 ,24,7.41 ,1,6
6004,2,1,1,8,Strategic,17.41 ,19.07 ,29.07 ,17.78 ,32,19.81 ,1,8
6004,2,1,1,10,Strategic,15.93 ,20.19 ,36.11 ,15.74 ,40,17.78 ,1,10
6004,2,1,1,12,Strategic,27.96 ,28.52 ,52.41 ,30.19 ,48,24.63 ,1,12
6004,2,1,1,14,Strategic,22.96 ,24.26 ,73.89 ,28.70 ,56,31.85 ,1,14
6004,2,1,1,16,Strategic,28.89 ,25.37 ,74.63 ,27.59 ,64,32.59 ,1,16
