Subject,Gender,Run,Trial,Partner_cost,PainReduce,Efficiency,Choice,Allocation,Choice_Miss,Allocation_Miss
303,2,1,2,16,12.8,2,1,10,0,0
303,2,1,3,8,6.4,1,0,3,0,0
303,2,1,4,16,12.8,1,0,6,0,0
303,2,1,5,4,3.2,2,1,4,0,0
303,2,1,6,18,14.4,1,0,6,0,0
303,2,1,7,6,4.8,3,1,3,0,0
303,2,1,8,14,11.2,3,1,5,0,0
303,2,1,9,10,8,2,1,6,0,0
303,2,1,10,20,16,3,1,4,0,0
303,2,1,11,8,6.4,3,0,8,0,0
303,2,1,12,12,9.6,1,0,3,0,0
303,2,1,13,12,9.6,3,0,12,0,0
303,2,1,14,4,3.2,1,0,2,0,0
303,2,1,15,18,14.4,3,0,10,0,0
303,2,1,16,6,4.8,1,0,3,0,0
303,2,1,17,10,8,1,0,4,0,0
303,2,1,18,18,14.4,2,0,8,0,0
303,2,1,19,6,4.8,2,0,6,0,0
303,2,1,20,10,8,3,0,10,0,0
303,2,1,21,16,12.8,3,0,15,0,0
303,2,1,22,14,11.2,2,0,10,0,0
303,2,1,23,4,3.2,3,0,5,0,0
303,2,1,24,8,6.4,2,0,8,0,0
303,2,1,25,20,16,1,0,7,0,0
303,2,1,26,20,16,2,0,10,0,0
303,2,1,27,12,9.6,2,0,12,0,0
303,2,2,28,14,11.2,1,0,5,0,0
303,2,2,29,6,4.8,3,0,7,0,0
303,2,2,30,8,6.4,1,0,3,0,0
303,2,2,31,14,11.2,3,1,5,0,0
303,2,2,32,20,16,3,0,10,0,0
303,2,2,33,16,12.8,2,0,12,0,0
303,2,2,34,4,3.2,2,0,5,0,0
303,2,2,35,8,6.4,3,0,9,0,0
303,2,2,36,10,8,2,0,10,0,0
303,2,2,37,16,12.8,1,0,6,0,0
303,2,2,38,18,14.4,2,0,15,0,0
303,2,2,39,12,9.6,3,1,10,0,0
303,2,2,40,18,14.4,3,0,12,0,0
303,2,2,41,6,4.8,2,0,6,0,0
303,2,2,42,14,11.2,2,0,12,0,0
303,2,2,43,10,8,3,0,10,0,0
303,2,2,44,16,12.8,3,1,6,0,0
303,2,2,45,8,6.4,2,0,8,0,0
303,2,2,46,20,16,2,0,16,0,0
303,2,2,47,18,14.4,1,0,6,0,0
303,2,2,48,12,9.6,1,0,4,0,0
303,2,2,49,12,9.6,2,0,13,0,0
303,2,2,50,4,3.2,1,0,2,0,0
303,2,2,51,6,4.8,1,0,2,0,0
303,2,2,52,4,3.2,3,0,5,0,0
303,2,2,53,10,8,1,0,4,0,0
303,2,2,54,20,16,1,0,13,0,0
303,2,3,55,16,12.8,2,0,10,0,0
303,2,3,56,14,11.2,1,0,5,0,0
303,2,3,57,6,4.8,3,0,7,0,0
303,2,3,58,14,11.2,3,1,5,0,0
303,2,3,59,8,6.4,1,0,3,0,0
303,2,3,60,16,12.8,1,0,6,0,0
303,2,3,61,4,3.2,2,0,4,0,0
303,2,3,62,20,16,3,0,20,0,0
303,2,3,63,10,8,2,0,10,0,0
303,2,3,64,18,14.4,1,0,13,0,0
303,2,3,65,12,9.6,1,0,5,0,0
303,2,3,66,18,14.4,2,0,12,0,0
303,2,3,67,8,6.4,3,0,10,0,0
303,2,3,68,6,4.8,2,0,6,0,0
303,2,3,69,12,9.6,3,0,12,0,0
303,2,3,70,18,14.4,3,0,10,0,0
303,2,3,71,14,11.2,2,0,12,0,0
303,2,3,72,4,3.2,1,0,2,0,0
303,2,3,73,6,4.8,1,0,3,0,0
303,2,3,74,10,8,3,0,10,0,0
303,2,3,75,16,12.8,3,0,15,0,0
303,2,3,76,8,6.4,2,0,10,0,0
303,2,3,77,10,8,1,0,4,0,0
303,2,3,78,20,16,2,0,20,0,0
303,2,3,79,12,9.6,2,0,12,0,0
303,2,3,80,20,16,1,0,7,0,0
303,2,3,81,4,3.2,3,0,4,0,0
304,2,1,1,14,11.2,3,1,5,0,0
304,2,1,2,6,4.8,3,1,2,0,0
304,2,1,3,10,8,2,1,6,0,0
304,2,1,4,20,16,1,0,6,0,0
304,2,1,5,18,14.4,2,1,8,0,0
304,2,1,6,12,9.6,3,1,4,0,0
304,2,1,7,16,12.8,3,1,6,0,0
304,2,1,8,6,4.8,1,0,2,0,0
304,2,1,9,4,3.2,1,0,1,0,0
304,2,1,10,10,8,3,1,3,0,0
304,2,1,11,14,11.2,1,0,4,0,0
304,2,1,12,20,16,3,1,7,0,0
304,2,1,13,18,14.4,1,0,6,0,0
304,2,1,14,8,6.4,2,1,6,0,0
304,2,1,15,20,16,2,1,10,0,0
304,2,1,16,8,6.4,1,0,3,0,0
304,2,1,17,4,3.2,2,1,1,0,0
304,2,1,18,16,12.8,1,0,5,0,0
304,2,1,19,4,3.2,3,1,2,0,0
304,2,1,20,18,14.4,3,1,7,0,0
304,2,1,21,14,11.2,2,1,8,0,0
304,2,1,22,10,8,1,0,4,0,0
304,2,1,23,12,9.6,1,0,4,0,0
304,2,1,24,6,4.8,2,1,6,0,0
304,2,1,25,8,6.4,3,1,4,0,0
304,2,1,26,12,9.6,2,1,8,0,0
304,2,1,27,16,12.8,2,1,8,0,0
304,2,2,28,20,16,1,0,7,0,0
304,2,2,29,14,11.2,3,1,5,0,0
304,2,2,30,6,4.8,1,0,2,0,0
304,2,2,31,4,3.2,1,0,2,0,0
304,2,2,32,10,8,2,1,8,0,0
304,2,2,33,18,14.4,2,1,9,0,0
304,2,2,34,6,4.8,3,1,2,0,0
304,2,2,35,12,9.6,3,1,4,0,0
304,2,2,36,8,6.4,2,1,5,0,0
304,2,2,37,16,12.8,3,1,6,0,0
304,2,2,38,20,16,2,1,10,0,0
304,2,2,39,10,8,3,1,4,0,0
304,2,2,40,4,3.2,2,1,2,0,0
304,2,2,41,20,16,3,1,7,0,0
304,2,2,42,14,11.2,2,1,8,0,0
304,2,2,43,14,11.2,1,0,5,0,0
304,2,2,44,4,3.2,3,1,2,0,0
304,2,2,45,18,14.4,1,0,6,0,0
304,2,2,46,8,6.4,1,0,3,0,0
304,2,2,47,6,4.8,2,1,5,0,0
304,2,2,48,16,12.8,1,0,6,0,0
304,2,2,49,10,8,1,0,4,0,0
304,2,2,50,12,9.6,2,1,8,0,0
304,2,2,51,18,14.4,3,1,7,0,0
304,2,2,52,16,12.8,2,1,10,0,0
304,2,2,53,12,9.6,1,0,4,0,0
304,2,2,54,8,6.4,3,1,3,0,0
304,2,3,55,20,16,1,0,7,0,0
304,2,3,56,10,8,2,1,7,0,0
304,2,3,57,18,14.4,2,1,9,0,0
304,2,3,58,6,4.8,1,0,3,0,0
304,2,3,59,14,11.2,3,1,5,0,0
