Subject,Cost,PartnerIntention,Gratitude,Guilt,Obligation,Indebtedness,SOB100,Care
324,6,Strategic,9,3,11,21,32,15
324,10,Altruistic,64,62,29,44,36,60
324,10,Strategic,41,11,23,30,48,40
324,14,Altruistic,54,50,36,62,40,65
324,14,Strategic,52,49,37,53,60,58
324,18,Altruistic,74,70,49,75,60,71
324,18,Strategic,66,51,47,56,80,55
324,20,Altruistic,79,75,42,77,60,70
324,20,Strategic,46,34,21,28,88,45
325,6,Altruistic,23,47,36,32,28,32
325,6,Strategic,36,32,17,16,24,12
325,10,Altruistic,61,39,27,33,60,59
325,10,Strategic,20,35,39,59,40,33
325,14,Altruistic,71,35,32,44,60,60
325,14,Strategic,46,31,36,28,56,36
325,18,Altruistic,85,23,33,44,80,88
325,18,Strategic,58,38,34,44,72,49
325,20,Altruistic,79,19,33,28,80,80
325,20,Strategic,58,41,47,31,80,55
326,6,Altruistic,18,0,0,0,0,21
326,6,Strategic,12,0,0,0,32,12
326,10,Altruistic,61,0,0,0,0,39
326,10,Strategic,30,0,12,0,48,20
326,14,Altruistic,59,0,0,0,0,59
326,14,Strategic,32,0,0,0,64,35
326,18,Altruistic,84,0,0,0,0,83
326,18,Strategic,49,0,0,0,88,67
326,20,Altruistic,79,0,0,0,0,93
326,20,Strategic,51,0,0,0,100,50
327,6,Altruistic,35,34,35,34,24,36
327,6,Strategic,21,19,19,20,24,21
327,10,Altruistic,58,58,18,39,48,59
327,10,Strategic,41,40,40,40,48,40
327,14,Altruistic,69,65,40,39,64,74
327,14,Strategic,41,38,21,23,64,39
327,18,Altruistic,78,61,59,39,80,78
327,18,Strategic,59,42,19,20,80,59
327,20,Altruistic,95,91,21,60,100,99
327,20,Strategic,93,78,78,79,100,99
328,6,Altruistic,42,31,26,40,0,31
328,6,Strategic,26,11,11,13,40,15
328,10,Altruistic,65,58,12,68,0,59
328,10,Strategic,41,29,29,70,60,43
328,14,Altruistic,64,53,20,61,0,52
328,14,Strategic,41,41,27,31,80,52
328,18,Altruistic,96,79,14,88,0,88
328,18,Strategic,68,55,25,70,80,68
328,20,Altruistic,100,76,20,89,0,95
328,20,Strategic,63,63,50,63,100,61
329,6,Altruistic,60,13,38,23,8,50
329,6,Strategic,31,12,41,29,32,17
329,10,Altruistic,82,16,21,51,12,70
329,10,Strategic,41,12,55,61,48,38
329,14,Altruistic,64,11,36,65,12,65
329,14,Strategic,59,11,36,48,64,50
329,18,Altruistic,87,12,12,22,16,86
329,18,Strategic,45,13,38,38,80,56
329,20,Altruistic,95,8,42,79,16,95
329,20,Strategic,33,12,32,59,88,49
330,6,Altruistic,40,28,25,26,0,26
330,6,Strategic,23,9,18,16,24,12
330,10,Altruistic,64,65,9,65,0,55
330,10,Strategic,37,0,16,38,40,18
330,14,Altruistic,78,66,31,66,0,66
330,14,Strategic,64,36,33,49,64,35
330,18,Altruistic,88,89,25,89,0,89
330,18,Strategic,85,35,29,65,80,84
330,20,Altruistic,100,87,21,99,0,98
330,20,Strategic,89,44,30,56,96,75
331,6,Altruistic,25,5,4,5,0,25
331,6,Strategic,10,5,10,5,20,20
331,10,Altruistic,40,15,5,5,0,50
331,10,Strategic,30,20,40,30,40,40
331,14,Altruistic,44,4,2,2,0,58
331,14,Strategic,38,9,47,20,60,50
331,18,Altruistic,65,4,4,4,0,88
331,18,Strategic,48,14,75,14,80,66
